Startup Name,STARTMunich Member,Member Linkedin,Profil Pic,Short Description,Description Long,Chategory ,Company Website,Company Logo,Founding Year,Company Role,Supporting Programs,Already Investment?,Last investment round,Investment Size €,First milestones,Company Linkedin
Beautechful,Csilla Spiller,,,,,,https://www.linkedin.com/company/beautechful/posts/?feedView=all,,,Co-Founder & CEO,,,,,,
Stepsailor,Pascal Lohscheidt,,,,,,https://www.stepsailor.com/,,,Co-Founder & CEO,,,,,,
finway,Jennifer Dussileck,,,Financial management software for businesses.,,,https://finway.de/en/,,2019,Co-Founder & CEO,,,,,,
Spherecast,Paul Dietrich,,,,,,https://www.spherecast.ai/,,,Co-Founder & CPO,YC 24,,,,,
askLio,Vladimir Keil,,,,,,https://de.asklio.ai/,,,Co-Founder & CEO,YC 23,,,,,
Superiontech,Raphael Joppi,,,,,,https://www.linkedin.com/company/superion-tech/,,,Founder,,,,,,
Simple Prax,Simon Osterlehner,,,,,,https://simpleprax.com/,,,Co-Founder & CTO,,,,,,
IDNow,Felix Haas,,,,,,https://www.idnow.io/de/,,2013,Founder & Executive Chairman,,,,,,
Bits & Pretzles,Felix Haas,,,Startup and entrepreneur networking event.,,,https://www.bitsandpretzels.com/,,2015,Co-Founder & Chairman & Host,,,,,,
Admyral,Christopher Grittner,,,,,,https://admyral.ai/,,,Co-Founder,YC 25,,,,,
Luminovo,Reinhardt Karpenko,,,,,,https://luminovo.com/de/,,,Entrepreneur In Residence,,,,,,
fairoo,Paul Lampe,,,,,,https://www.fairoo.de/,,,Co-Founder & CTO,,,,,,
Sparky,Julian Krug,,,,,,https://www.joinsparky.com/,,,Founder,,,,,,
TradeRepublic,Thomas Pischke,,,,,,https://traderepublic.com/de-de,,2016,Co-Founder & CTO,,,,,,https://www.linkedin.com/company/trade-republic/
Dasmarada,Timo Schniedermeier,,,,,,https://dasmaranda.de/de/,,,Co-Founder,,,,,,
FoxEatFish,Vincent Betz,,,,,,https://www.foxeatfish.com/,,,Co-Founder & CEO,,,,,,
Legalian,Constantin Wild,,,,,,https://legalian.io/,,,Co-Founder & CTO,,,,,,
UlmaniVentures,Daniel Ulman,,,,,,https://www.linkedin.com/company/ulmani-ventures/,,,Co-Founder & CEO,,,,,,
Feldwerke,Carmen Specht,,,,,,https://www.feldwerke.de/,,,"
Founders Associate Intern (First Hire)",,,,,,
Atmio,Henrik Seest,,,,,,https://www.atmio.com/de-de,,,Chief of Staaf,,,,,,
Dalus,Sebastian Völkl,,,,,,https://www.dalus.io/,,,Co-Founder & CEO,YC 25,,,,,https://www.linkedin.com/company/dalus-tech/
remberg,Julian Borg,,,,,,https://remberg.com/de,,,Co-Founder & CPO,,,,,,https://www.linkedin.com/company/remberg/
Climedo,Sascha Ritz,,,,,,https://climedo.de/en/,,,Co-Founder & CEO,,,,,,
